CPU time to construct a MovieNet Database: 163 millisec
Collaboration distance between Haddrick, Roy/Broadhurst, Spence : -1
Collaboration distance between Blackwell, David (I)/Kenzle, Ken : 7
Collaboration distance between Brown, Jack (II)/Vernon, John (I) : -1
Collaboration distance between Eisley, Anthony/Lohr, Marie : 3
Collaboration distance between Barr, Patrick/Barrymore, John (I) : 2
Collaboration distance between Scofield, Paul (I)/Taylor, Deems : 3
Collaboration distance between Boockvor, Steve/Hendry, Miriam : 4
Collaboration distance between Wolter, Ralf/Merrill, Tommy (I) : 4
Collaboration distance between Johnson, Leroy (II)/Gould, Harold (I) : 2
Collaboration distance between Laws, Jennifer (I)/Fischbach, Erica : 4
Collaboration distance between Charlie, Squeeze Box/Waterman, Stan : -1
Collaboration distance between Telienki, Ryan/Shibuya, Hideo : 4
Collaboration distance between Fullerton, Fiona/Plaksin, Vasili : 3
Collaboration distance between Bartlett, Craig/Orjas, Jos? : 3
Collaboration distance between Bradley, Lisa/Allan, Roger : 4
Collaboration distance between Warren, Tracy Venner/Twaha, Ali : 5
Collaboration distance between Fields, Cornell/VeSota, Bruno : 3
Collaboration distance between Bugiewicz, Carole/Kirksey, Iris : 4
Collaboration distance between Maruyama, Hiroko (I)/Skersick, Susan : 4
Collaboration distance between Larsen, Ham/Hinz, Werner : 3
Collaboration distance between Carthen, Andr?/Adams, Peter (I) : -1
Collaboration distance between Trueb, Nicholas/Sasso, Ugo : -1
Collaboration distance between Juttner, Shelly/Malland, Alf : -1
Collaboration distance between Pennington, Ty/Meredith, Robin : 4
Collaboration distance between Boockvor, Steve/Greener, Dorothy : 3
Collaboration distance between Yonten, Pema/Ford, Fritz : -1
Collaboration distance between Anderson, Dan (III)/Prior, Diane : -1
Collaboration distance between Fraser, Liz/Palmer, Renzo : 4
Collaboration distance between Rechenberg, Otto/Dalton, Abby : 4
Collaboration distance between Gillis, Ann (I)/Cokes, Bud : 3
Collaboration distance between Furukawa, Yoneka/Hong, Allen D. : 4
Collaboration distance between Wilson, Dorien/Schon, Kevin : 4
Collaboration distance between Joyner, Jackie (I)/Armen, Kay : -1
Collaboration distance between Cotsworth, Staats/Douglass, Pi : 3
Collaboration distance between Harvey, Tom (I)/Perce, Fred : 3
Collaboration distance between Hollingshead, Megan/Singh, Parsan : 5
Collaboration distance between Hart, Susan (I)/Jeffreys, Anne : 4
Collaboration distance between Wilson, Dick (I)/Gagliardi, Vito : 4
Collaboration distance between Osmond, Jimmy/Dodson, Jon (II) : 3
Collaboration distance between Ware, Rachel/Adlon, Pamela : -1
Collaboration distance between Houghton, Nerise/Carr, John K. : 3
Collaboration distance between Tajima, Reiko/Artyomova, Galina : 5
Collaboration distance between Buiret, Daniel/Armstrong, Ray (I) : -1
Collaboration distance between Truffaut, Eva/Evans, Mike (I) : -1
Collaboration distance between Paull, Morgan/O'Byrne, Bryan : 1
Collaboration distance between Harmon, Manny/Drake, Dick (I) : 4
Collaboration distance between Cowan, Ashley/Mazstead, Mary : 2
Collaboration distance between Roebke, Carroll/Tinne, Alex : 2
Collaboration distance between Vazquez, Claudia/H?nin, Georges : -1
Collaboration distance between Rolfe, Guy (I)/Palacios, Ricardo : 3
Collaboration distance between Zeman, Milan/Sk?nberg, Jo : -1
Collaboration distance between Holmes, Wendell (I)/Meunier, Monique : 4
Collaboration distance between Daniels, J.D./Duncan, Peter (I) : 3
Collaboration distance between Robinson, Susan (III)/Walsh, Johnny (I) : 4
Collaboration distance between Rivera, Jonas/Sweeten, Madylin : 2
Collaboration distance between Reid, Sue (I)/Logan, Frank (I) : 3
Collaboration distance between Cabeen, Boyd/Tzvetarski, Ivan : -1
Collaboration distance between Nakado, Kico/Kurtz, Shelly (I) : 3
Collaboration distance between North, Heather/Singh, Mohan (I) : 4
Collaboration distance between Gibson, Mimi/del Pozo, ?ngel : 3
Collaboration distance between Bett, John (I)/Jones, Harriet (I) : 3
Collaboration distance between Reed, Mack/Bigelow, Edward : 4
Collaboration distance between Harvey, Michael Louis/Torn, Rip : 2
Collaboration distance between Abineri, Daniel/Rode, Walter : 3
Collaboration distance between Rivera, Jonas/Brazier, Fergus : 3
Collaboration distance between Brazzi, Rossano/Carpenter, Beth : 4
Collaboration distance between Lowry, Morton (I)/Harris, Eliza : 5
Collaboration distance between Hines, Gregory/Bitenc, Demeter : 3
Collaboration distance between Schneider, Mark (I)/Lehmann, Edie : 4
Collaboration distance between Pierce, Bradley/Stevens, Alta M. : 3
Collaboration distance between Anderson, Robert G. (I)/Dietrich, Dena : 2
Collaboration distance between Maurice, Marcus/Puckett, Don : 4
Collaboration distance between Patterson, Barbara June/Horsley, John : 3
Collaboration distance between Waldhorn, Gary/Massine, L?onide : 3
Collaboration distance between Hanna, Elizabeth/Marciano, Harry : 5
Collaboration distance between Maggio, Enzo/Hart, Maurice : 3
Collaboration distance between Ryan, Robert (I)/Golden, Annie : 3
Collaboration distance between Hiramatsu, Shoshi/Malet, Arthur : 3
Collaboration distance between Henson, Jim (I)/Moreno, Antonio (I) : 3
Collaboration distance between Neal, Patricia/Robinson, Joey (II) : 2
Collaboration distance between Brown, Jacqueline (III)/Arden, Robert (I) : 4
Collaboration distance between Woodnutt, John/Angarola, Richard : 3
Collaboration distance between Nightingale, Arthur/Matson, Katy : 4
Collaboration distance between Harris, Mike (III)/Greenfield, Calvin : 4
Collaboration distance between Hallier, Lori/Ingram, Donna Patrice : 4
Collaboration distance between Brewers, Sarah/Thompson, Rudy : -1
Collaboration distance between Bayer, Rolf/Scales, Prunella : 4
Collaboration distance between Ave, Steve/Baker, Benjamin Scott : -1
Collaboration distance between Kirschner, Alexis (I)/Rhythmettes, The : 4
Collaboration distance between DeMenno, Lou/Munro, Caroline : 4
Collaboration distance between Bose, Rajesh/Valdez, Jorge (I) : -1
Collaboration distance between Burton Jr., John (II)/Champion, Jean : -1
Collaboration distance between Chen, Christopher (IV)/Seaton, Violet : 3
Collaboration distance between Dodge Twins, The/LaVere, June : 2
Collaboration distance between O'Neal, Kevin (I)/Lang, Christa : 1
Collaboration distance between Flinn III, John C./Ryan, Edmon : 2
Collaboration distance between Clements, Stanley/Dawkins, Paul (I) : 3
Collaboration distance between Canipe, Ridge/Zagaria, Anita : 3
Collaboration distance between Meehan, Christopher (II)/Tudor, Jennifer : 5
Collaboration distance between Stamps, Larry/Leonard, Peggy : 1
Collaboration distance between Christie, Linford/Leigh, Janet : -1
Collaboration distance between Kekoa, Sterling/Bowson, Stephen : 3
Collaboration distance between Travis, Bill/Friedman, Tony (II) : 3
Collaboration distance between Nicholas, Siobhan/Jamaan, Natja : 4
Collaboration distance between O'Brien, Niall/Muglia, Nick : 5
Collaboration distance between Pierson, Kate/Monroe, Tom (I) : 3
Collaboration distance between Mills, Hayley/Ranftl, Sarina : 3
Collaboration distance between Hathaway, Jessica/Forrest, Otto : 2
Collaboration distance between Fricker, Bill/Friedman, Stanton : -1
Collaboration distance between Spreckley, Arthur/Moulinot, Jean-Paul : -1
Collaboration distance between Moustache/B?rub?, Jocelyn : 7
Collaboration distance between Hilton, Robyn (I)/O'Shea, Milo (I) : 3
Collaboration distance between Merritt, Russell (I)/Parks, Leona M. : 4
Collaboration distance between Mackleprang, William/Hackenberger, Thomas : 5
Collaboration distance between Balbina (I)/Verstraete, Guus (I) : 4
Collaboration distance between Hutton, Rif/Mascherini, Enzo : -1
Collaboration distance between Hoover, Kelly/Marine, Bill : 4
Collaboration distance between Newmark, Paul/Cassidy, Ed (I) : 5
Collaboration distance between Dickinson, Sandra/Houde, Joe : 4
Collaboration distance between Sidumo, Henry/Franculescu, Dan : -1
Collaboration distance between McCary, Rod/Wakabayashi, Go : 3
Collaboration distance between Hale, Creighton/Fishman, Duke : 2
Collaboration distance between Rickles, Don/Larson, Jean (I) : 2
Collaboration distance between Gross, Mary/Cromwell, James (I) : 2
Collaboration distance between Stewart, Patrick (I)/Theodore, Diana : 3
Collaboration distance between Szirtes, ?d?m/Morton, Gregory : 3
Collaboration distance between Pendleton, Charles (I)/Michenaud, Jean-Michel : 2
Collaboration distance between Garver, Kathy/Travis, Len : 3
Collaboration distance between Thorpe, Ken/Barth, Eddie : 3
Collaboration distance between Bexley, Don/Michaeli, Elisheva : -1
Collaboration distance between Quan, Thomas Y./Sopwith, Sally : 3
Collaboration distance between Jacquet, Jeffrey/Clayton, Johnnie : 3
Collaboration distance between Hutton, Rif/Gelley, Korn?l : 4
Collaboration distance between Ristic, Suzanne/Hope, Dawn : 4
Collaboration distance between DeGideo, April/Leeper, Patricia : -1
Collaboration distance between Howat, Clark/November, Linda : 3
Collaboration distance between McKenzie, Kevin (I)/Sturgess, Olive : 4
Collaboration distance between Goble, Diane/Franciscus, James : 3
Collaboration distance between Cei, Pina/Baker, Nate (I) : 5
Collaboration distance between Armstrong, R.G./Omae, Wataru : 3
Collaboration distance between Dill, Wallace M./Bradford, Spencer : 4
Collaboration distance between Brooks, Christopher (I)/Lanchester, Elsa : -1
Collaboration distance between Kane, Thomas (I)/Callahan, Julius : 4
Collaboration distance between Stevenson, Bob (I)/Eaton, Janis : 3
Collaboration distance between McCann, Les/Mitchum, John : 4
Collaboration distance between Van Cleef, Lee/Matusiak, Michael J. : 4
Collaboration distance between Attles, Joseph/Eltaeva, Lola : -1
Collaboration distance between Boorem, Mika/Fleischer, Charles : 3
Collaboration distance between Sasaki, George/Judd, Edward : 3
Collaboration distance between Takahashi, Atsuko (I)/Roberts, Larry (II) : 4
Collaboration distance between Felder, Isabelle/Love, Darlene : 5
Collaboration distance between Blake, Julia (I)/Garcin, Henri : 5
Collaboration distance between Lee-Sung, Richard/McGuinness, Rory (I) : 4
Collaboration distance between Battin, Charlotte/De Veyra, Yani : -1
Collaboration distance between Rogers, Gayle/Thiess, Manuela : 3
Collaboration distance between Boyce, Rodger/Abbott, Philip : 4
CPU time to process queries : 2505 millisec

Memory consumption: 107381624 bytes

