CPU time to construct a MovieNet Database: 163 millisec
Eccentricity of Walcutt, John : 5
Eccentricity of Hingle, Pat : 5
Eccentricity of Manning, Rob (IV) : 7
Eccentricity of Beckley, William : 6
Eccentricity of Bjorlin, Kamilla : 6
Eccentricity of Francis, Douglas : 6
Eccentricity of Ashkenazy, Irvin : 6
Eccentricity of Wald, George : 6
Eccentricity of Shelley, Joshua (I) : 6
Eccentricity of Bergen, Avril : 6
Eccentricity of Keith, Patty : 7
Eccentricity of Seki, Hiroko : 6
Eccentricity of Bender, Richard : 6
Eccentricity of Wilder, Glenn R. : 6
Eccentricity of Grant, Kim : 6
Eccentricity of Ameer, Rafi : 6
Eccentricity of Corrie, Eric : 6
Eccentricity of Kanai, Shinji : 6
Eccentricity of Widom, Bud : 7
Eccentricity of Miftahova, Alfiya : 1
Eccentricity of Weaver, Malcolm : 6
Eccentricity of Sellers, Peter : 5
Eccentricity of Gilbert, Lou : 7
Eccentricity of Clarin, Hans : 7
Eccentricity of Christopher, William : 5
Eccentricity of Kuochi, Roy : 6
Eccentricity of Tanner, Kenneth W. : 6
Eccentricity of Garber, Victor : 7
Eccentricity of Marcus, Ed : 6
Eccentricity of Cagle, Chris (I) : 1
Eccentricity of Alexander, Richard (I) : 6
Eccentricity of Brygmann, Martin : 7
Eccentricity of Bartle, Charlie : 5
Eccentricity of Ferret, Eve (I) : 6
Eccentricity of Pi?plu, Claude : 6
Eccentricity of Sardo, Cosmo : 6
Eccentricity of Haugen, Per Theodor : 7
Eccentricity of Strader, Martin : 6
Eccentricity of Ren?, Jacynthe : 8
Eccentricity of Frankham, David : 6
Eccentricity of Garnica, Lupe : 6
Eccentricity of McKinley, Bren : 6
Eccentricity of Sparanero, Raffaele : 6
Eccentricity of Knatz, Nikita : 5
Eccentricity of Freedman, David (II) : 6
Eccentricity of Higazy, Salah : 6
Eccentricity of Devine, Candy : 6
Eccentricity of Hughes, T. Arthur : 6
Eccentricity of Young, Graeme Alexander : 6
Eccentricity of Dorsay, Diane : 6
Eccentricity of Latre, Carlos : 6
Eccentricity of Frederick, Brian Jay : 7
Eccentricity of Tellegen, Mike : 6
Eccentricity of Sayers, Shirley : 1
Eccentricity of de Turckheim, Delphine : 6
Eccentricity of Iseri, Michiko : 6
Eccentricity of Hart, Mary Ann : 5
Eccentricity of King, Helen (III) : 7
Eccentricity of Kak, Siddharth : 6
Eccentricity of Shearer, Harry : 5
Eccentricity of Ross, Gene (I) : 1
Eccentricity of Johnson, Mary B. : 1
Eccentricity of Piani, Lorenzo : 6
Eccentricity of Kerr, Charles (II) : 6
Eccentricity of Parsons, Estelle : 6
Eccentricity of Nye, Carroll : 6
Eccentricity of Monahan, Thomas : 6
Eccentricity of Gustafson, Mark : 6
Eccentricity of Rossi, Luciano (I) : 7
Eccentricity of Malyon, Eily : 6
Eccentricity of Brecher, Egon : 6
Eccentricity of Hordern, Michael : 5
Eccentricity of Meskin, Aharon : 1
Eccentricity of Jury, Richard : 5
Eccentricity of Ramirez, Monika : 6
Eccentricity of Kusumajo, Wallace : 6
Eccentricity of Denham, Vera : 6
Eccentricity of Cannella, Tony : 1
Eccentricity of Hutchins, Peter (I) : 6
Eccentricity of Brady, Bernadette (I) : 6
Eccentricity of Kolldehoff, Reinhard : 6
Eccentricity of Rogers, John (I) : 6
Eccentricity of Groth, Robin : 6
Eccentricity of Austin, Robert : 7
Eccentricity of McCabe, Tom : 5
Eccentricity of VeSota, Bruno : 6
Eccentricity of Chambers, Lossen : 6
Eccentricity of Doumani, Lorenzo : 6
Eccentricity of Alperin, Ya'akov : 6
Eccentricity of Yip, William (I) : 6
Eccentricity of Dunn, Pete (I) : 6
Eccentricity of Trevino, Antonio : 6
Eccentricity of Gugino, Carla : 6
Eccentricity of Humphries, Barry : 6
Eccentricity of Juhlin, Niklas : 8
Eccentricity of von Krosigk, Sidonie : 7
Eccentricity of Paulo, Kathy : 6
Eccentricity of Rivero, Santiago : 7
Eccentricity of Spurrier, Linda : 6
Eccentricity of Majorov, Aleksandr (II) : 8
Eccentricity of Jacquet, Jeffrey : 6
Eccentricity of Singh, Kuljit : 7
Eccentricity of Ballantyne, Paul : 6
Eccentricity of Kells, Jane : 6
Eccentricity of Cossins, James : 6
Eccentricity of Girardot, Annie : 7
Eccentricity of May, Bert : 6
Eccentricity of Boy, Lola : 6
Eccentricity of Bennett, Ruth (I) : 6
Eccentricity of Ellis, June C. (I) : 6
Eccentricity of McLellan, Pheona : 6
Eccentricity of Oka, Yutaka : 6
Eccentricity of O'Brien, Mary (IV) : 5
Eccentricity of Williamson, Simon : 6
Eccentricity of Ford, Brendon : 6
Eccentricity of Reitherman, Bruce : 6
Eccentricity of Wellman Jr., William : 5
Eccentricity of Batchuluun, Nansalmaa : 1
Eccentricity of Morrissey, Betty : 6
Eccentricity of John, Elton : 6
Eccentricity of Wayland, Len : 5
Eccentricity of Reed, Don (I) : 6
Eccentricity of James, Charity Nicole : 6
Eccentricity of Thorne-Smith, Courtney : 6
Eccentricity of Pfau, Tracy : 6
Eccentricity of Clements, Jill Jane : 7
Eccentricity of Pickard, John (I) : 6
Eccentricity of L?fgren, Sven (I) : 7
Eccentricity of Benham, Joan : 6
Eccentricity of Bromberg, J. Edward : 6
Eccentricity of Hickman, Bill : 6
Eccentricity of Royde, Frank : 6
Eccentricity of Cox, Evelyn : 1
Eccentricity of Pedroza, Robert A. : 6
Eccentricity of Koumani, Maya : 7
Eccentricity of Miller, Karen (I) : 6
Eccentricity of Hopf, Hans : 6
Eccentricity of MacNeil, Cornell : 7
CPU time to process queries : 3446 millisec

Memory consumption: 107381808 bytes

